-2.10920e-04 	-1.77927e-04 	-1.44965e-04 	-1.12030e-04 	-7.91196e-05 	-4.62316e-05 	-1.33635e-05 	1.94867e-05 	5.23210e-05 	8.51413e-05 	1.17950e-04 	1.50748e-04 	1.83536e-04 	
3.13516e+09 	3.34219e+09 	3.54919e+09 	3.75618e+09 	3.96318e+09 	4.17018e+09 	4.37719e+09 	4.58420e+09 	4.79122e+09 	4.99826e+09 	5.20532e+09 	5.41242e+09 	5.61966e+09 	
6.20109e+09 	6.61023e+09 	7.01930e+09 	7.42837e+09 	7.83745e+09 	8.24652e+09 	8.65561e+09 	9.06471e+09 	9.47382e+09 	9.88297e+09 	1.02922e+10 	1.07014e+10 	1.11108e+10 	
9.13125e+09 	9.73286e+09 	1.03344e+10 	1.09359e+10 	1.15374e+10 	1.21389e+10 	1.27404e+10 	1.33419e+10 	1.39435e+10 	1.45451e+10 	1.51467e+10 	1.57484e+10 	1.63502e+10 	
1.18643e+10 	1.26444e+10 	1.34244e+10 	1.42044e+10 	1.49843e+10 	1.57643e+10 	1.65443e+10 	1.73243e+10 	1.81043e+10 	1.88844e+10 	1.96645e+10 	2.04446e+10 	2.12248e+10 	
1.43464e+10 	1.52873e+10 	1.62280e+10 	1.71687e+10 	1.81094e+10 	1.90501e+10 	1.99908e+10 	2.09316e+10 	2.18723e+10 	2.28131e+10 	2.37539e+10 	2.46947e+10 	2.56356e+10 	
1.65330e+10 	1.76138e+10 	1.86945e+10 	1.97751e+10 	2.08558e+10 	2.19364e+10 	2.30171e+10 	2.40977e+10 	2.51784e+10 	2.62591e+10 	2.73398e+10 	2.84205e+10 	2.95012e+10 	
1.83900e+10 	1.95878e+10 	2.07853e+10 	2.19828e+10 	2.31803e+10 	2.43778e+10 	2.55753e+10 	2.67728e+10 	2.79703e+10 	2.91678e+10 	3.03654e+10 	3.15629e+10 	3.27604e+10 	
1.98950e+10 	2.11851e+10 	2.24750e+10 	2.37649e+10 	2.50547e+10 	2.63446e+10 	2.76344e+10 	2.89243e+10 	3.02141e+10 	3.15040e+10 	3.27938e+10 	3.40837e+10 	3.53735e+10 	
2.10369e+10 	2.23943e+10 	2.37515e+10 	2.51086e+10 	2.64658e+10 	2.78229e+10 	2.91800e+10 	3.05371e+10 	3.18942e+10 	3.32513e+10 	3.46084e+10 	3.59655e+10 	3.73226e+10 	
2.18161e+10 	2.32159e+10 	2.46155e+10 	2.60151e+10 	2.74147e+10 	2.88142e+10 	3.02138e+10 	3.16133e+10 	3.30128e+10 	3.44124e+10 	3.58119e+10 	3.72113e+10 	3.86108e+10 	
2.22433e+10 	2.36617e+10 	2.50799e+10 	2.64980e+10 	2.79161e+10 	2.93343e+10 	3.07524e+10 	3.21705e+10 	3.35886e+10 	3.50066e+10 	3.64247e+10 	3.78428e+10 	3.92608e+10 	
2.23384e+10 	2.37531e+10 	2.51677e+10 	2.65822e+10 	2.79966e+10 	2.94111e+10 	3.08256e+10 	3.22400e+10 	3.36545e+10 	3.50689e+10 	3.64833e+10 	3.78977e+10 	3.93121e+10 	
