-4.550537e-16	-4.580210e-16	-4.604994e-16	-4.626057e-16	-4.644358e-16	-4.660706e-16	-4.675797e-16	-4.690244e-16	-4.704599e-16	-4.719374e-16	-4.735051e-16	-4.752098e-16	-4.770979e-16	-4.792162e-16	-4.816128e-16	-4.843375e-16	-4.874423e-16	-4.909807e-16	-4.950077e-16	-4.995767e-16	-5.047361e-16	-5.105209e-16	-5.169387e-16	-5.239440e-16	-5.313929e-16	
-9.497016e-03	-9.347058e-03	-9.005132e-03	-8.500485e-03	-7.858584e-03	-7.101709e-03	-6.249468e-03	-5.319256e-03	-4.326655e-03	-3.285798e-03	-2.209697e-03	-1.110545e-03	-6.358671e-10	1.110544e-03	2.209696e-03	3.285796e-03	4.326653e-03	5.319254e-03	6.249466e-03	7.101707e-03	7.858582e-03	8.500482e-03	9.005129e-03	9.347055e-03	9.497012e-03	
-1.900252e-02	-1.870227e-02	-1.801797e-02	-1.700814e-02	-1.572371e-02	-1.420927e-02	-1.250405e-02	-1.064284e-02	-8.656813e-03	-6.574247e-03	-4.421172e-03	-2.221983e-03	-1.271891e-09	2.221981e-03	4.421170e-03	6.574244e-03	8.656810e-03	1.064284e-02	1.250405e-02	1.420927e-02	1.572371e-02	1.700813e-02	1.801796e-02	1.870226e-02	1.900251e-02	
-2.852502e-02	-2.807380e-02	-2.704624e-02	-2.553014e-02	-2.360195e-02	-2.132857e-02	-1.876888e-02	-1.597509e-02	-1.299399e-02	-9.868006e-03	-6.636210e-03	-3.335209e-03	-1.908228e-09	3.335205e-03	6.636206e-03	9.868002e-03	1.299398e-02	1.597508e-02	1.876887e-02	2.132857e-02	2.360194e-02	2.553013e-02	2.704623e-02	2.807380e-02	2.852501e-02	
-3.807307e-02	-3.746989e-02	-3.609771e-02	-3.407371e-02	-3.149989e-02	-2.846551e-02	-2.504911e-02	-2.132037e-02	-1.734171e-02	-1.316975e-02	-8.856604e-03	-4.451122e-03	-2.545034e-09	4.451117e-03	8.856598e-03	1.316974e-02	1.734171e-02	2.132036e-02	2.504910e-02	2.846550e-02	3.149988e-02	3.407370e-02	3.609770e-02	3.746987e-02	3.807305e-02	
-4.765530e-02	-4.689880e-02	-4.518022e-02	-4.264614e-02	-3.942419e-02	-3.562604e-02	-3.134994e-02	-2.668308e-02	-2.170354e-02	-1.648217e-02	-1.108416e-02	-5.570631e-03	-3.182465e-09	5.570624e-03	1.108415e-02	1.648216e-02	2.170354e-02	2.668307e-02	3.134993e-02	3.562603e-02	3.942418e-02	4.264613e-02	4.518021e-02	4.689878e-02	4.765528e-02	
-5.728043e-02	-5.636892e-02	-5.430168e-02	-5.125479e-02	-4.738158e-02	-4.281617e-02	-3.767663e-02	-3.206766e-02	-2.608309e-02	-1.980799e-02	-1.332071e-02	-6.694651e-03	-3.820675e-09	6.694644e-03	1.332070e-02	1.980798e-02	2.608308e-02	3.206765e-02	3.767662e-02	4.281616e-02	4.738157e-02	5.125478e-02	5.430166e-02	5.636890e-02	5.728041e-02	
-6.695730e-02	-6.588874e-02	-6.347012e-02	-5.990712e-02	-5.537886e-02	-5.004202e-02	-4.403450e-02	-3.747863e-02	-3.048399e-02	-2.314997e-02	-1.556810e-02	-7.824114e-03	-4.459813e-09	7.824105e-03	1.556809e-02	2.314996e-02	3.048398e-02	3.747862e-02	4.403449e-02	5.004201e-02	5.537885e-02	5.990711e-02	6.347010e-02	6.588871e-02	6.695727e-02	
-7.669489e-02	-7.546688e-02	-7.269369e-02	-6.861072e-02	-6.342298e-02	-5.730978e-02	-5.042897e-02	-4.292055e-02	-3.490995e-02	-2.651093e-02	-1.782822e-02	-8.959963e-03	-5.100032e-09	8.959952e-03	1.782820e-02	2.651092e-02	3.490994e-02	4.292054e-02	5.042896e-02	5.730977e-02	6.342296e-02	6.861070e-02	7.269366e-02	7.546685e-02	7.669486e-02	
-8.650235e-02	-8.511213e-02	-8.198069e-02	-7.737331e-02	-7.152097e-02	-6.462577e-02	-5.686556e-02	-4.839811e-02	-3.936476e-02	-2.989371e-02	-2.010297e-02	-1.010316e-02	-5.741478e-09	1.010315e-02	2.010296e-02	2.989369e-02	3.936475e-02	4.839809e-02	5.686554e-02	6.462575e-02	7.152095e-02	7.737328e-02	8.198067e-02	8.511211e-02	8.650231e-02	
