8.022219e-06	7.185323e-06	6.466977e-06	5.802547e-06	5.156424e-06	4.506758e-06	3.837464e-06	3.134037e-06	2.381271e-06	1.561878e-06	6.554503e-07	-3.625701e-07	-1.522159e-06	-2.860443e-06	-4.424210e-06	-6.273669e-06	-8.488264e-06	
-3.986684e+09	-3.590035e+09	-3.276708e+09	-3.039430e+09	-2.872694e+09	-2.772630e+09	-2.736917e+09	-2.764725e+09	-2.856699e+09	-3.014974e+09	-3.243224e+09	-3.546746e+09	-3.932585e+09	-4.409695e+09	-4.989149e+09	-5.684397e+09	-6.511574e+09	
-7.963194e+09	-7.170909e+09	-6.545054e+09	-6.071103e+09	-5.738057e+09	-5.538185e+09	-5.466849e+09	-5.522393e+09	-5.706107e+09	-6.022254e+09	-6.478171e+09	-7.084441e+09	-7.855133e+09	-8.808136e+09	-9.965566e+09	-1.135429e+10	-1.300653e+10	
-1.191939e+10	-1.073349e+10	-9.796703e+09	-9.087289e+09	-8.588782e+09	-8.289612e+09	-8.182835e+09	-8.265975e+09	-8.540959e+09	-9.014171e+09	-9.696593e+09	-1.060406e+10	-1.175764e+10	-1.318411e+10	-1.491656e+10	-1.699521e+10	-1.946831e+10	
-1.584520e+10	-1.426871e+10	-1.302338e+10	-1.208031e+10	-1.141761e+10	-1.101991e+10	-1.087796e+10	-1.098848e+10	-1.135404e+10	-1.198311e+10	-1.289030e+10	-1.409665e+10	-1.563018e+10	-1.752647e+10	-1.982953e+10	-2.259282e+10	-2.588046e+10	
-1.973066e+10	-1.776759e+10	-1.621689e+10	-1.504256e+10	-1.421736e+10	-1.372214e+10	-1.354538e+10	-1.368301e+10	-1.413820e+10	-1.492153e+10	-1.605117e+10	-1.755334e+10	-1.946291e+10	-2.182420e+10	-2.469200e+10	-2.813288e+10	-3.222669e+10	
-2.356592e+10	-2.122127e+10	-1.936914e+10	-1.796656e+10	-1.698095e+10	-1.638946e+10	-1.617835e+10	-1.634273e+10	-1.688640e+10	-1.782199e+10	-1.917122e+10	-2.096538e+10	-2.324614e+10	-2.606641e+10	-2.949166e+10	-3.360138e+10	-3.849096e+10	
-2.734134e+10	-2.462106e+10	-2.247221e+10	-2.084492e+10	-1.970141e+10	-1.901516e+10	-1.877023e+10	-1.896094e+10	-1.959172e+10	-2.067720e+10	-2.224257e+10	-2.432418e+10	-2.697032e+10	-3.024242e+10	-3.421642e+10	-3.898455e+10	-4.465747e+10	
-3.104745e+10	-2.795843e+10	-2.551831e+10	-2.367043e+10	-2.237193e+10	-2.159266e+10	-2.131453e+10	-2.153109e+10	-2.224737e+10	-2.347998e+10	-2.525754e+10	-2.762131e+10	-3.062614e+10	-3.434177e+10	-3.885444e+10	-4.426889e+10	-5.071077e+10	
-3.467501e+10	-3.122508e+10	-2.849985e+10	-2.643607e+10	-2.498585e+10	-2.411553e+10	-2.380490e+10	-2.404677e+10	-2.484673e+10	-2.622337e+10	-2.820862e+10	-3.084857e+10	-3.420448e+10	-3.835424e+10	-4.339417e+10	-4.944123e+10	-5.663578e+10	
-3.821506e+10	-3.441292e+10	-3.140946e+10	-2.913499e+10	-2.753672e+10	-2.657754e+10	-2.623520e+10	-2.650176e+10	-2.738339e+10	-2.890057e+10	-3.108850e+10	-3.399797e+10	-3.769649e+10	-4.226992e+10	-4.782438e+10	-5.448881e+10	-6.241786e+10	
-4.165893e+10	-3.751415e+10	-3.424003e+10	-3.176059e+10	-3.001828e+10	-2.897266e+10	-2.859947e+10	-2.889005e+10	-2.985114e+10	-3.150504e+10	-3.389015e+10	-3.706181e+10	-4.109364e+10	-4.607921e+10	-5.213424e+10	-5.939925e+10	-6.804286e+10	
-4.499827e+10	-4.052125e+10	-3.698468e+10	-3.430649e+10	-3.242451e+10	-3.129508e+10	-3.089198e+10	-3.120585e+10	-3.224398e+10	-3.403046e+10	-3.660675e+10	-4.003265e+10	-4.438767e+10	-4.977288e+10	-5.631327e+10	-6.416064e+10	-7.349711e+10	
-4.822508e+10	-4.342701e+10	-3.963683e+10	-3.676659e+10	-3.474966e+10	-3.353924e+10	-3.310723e+10	-3.344361e+10	-3.455618e+10	-3.647077e+10	-3.923181e+10	-4.290338e+10	-4.757069e+10	-5.334208e+10	-6.035148e+10	-6.876158e+10	-7.876757e+10	
-5.133173e+10	-4.622457e+10	-4.219023e+10	-3.913509e+10	-3.698823e+10	-3.569984e+10	-3.524000e+10	-3.559805e+10	-3.678229e+10	-3.882021e+10	-4.175912e+10	-4.566721e+10	-5.063519e+10	-5.677837e+10	-6.423932e+10	-7.319120e+10	-8.384177e+10	
-5.431100e+10	-4.890742e+10	-4.463893e+10	-4.140647e+10	-3.913501e+10	-3.777184e+10	-3.728531e+10	-3.766414e+10	-3.891712e+10	-4.107332e+10	-4.418280e+10	-4.831772e+10	-5.357404e+10	-6.007376e+10	-6.796774e+10	-7.743918e+10	-8.870791e+10	
-5.715608e+10	-5.146943e+10	-4.697734e+10	-4.357555e+10	-4.118510e+10	-3.975052e+10	-3.923850e+10	-3.963718e+10	-4.095579e+10	-4.322495e+10	-4.649732e+10	-5.084884e+10	-5.638052e+10	-6.322073e+10	-7.152824e+10	-8.149584e+10	-9.335488e+10	
