1.57720e-17 	7.99000e-17 	9.25594e-17 	7.98592e-17 	1.54530e-17 	
3.84085e-02 	1.09739e-02 	5.48693e-03 	1.09739e-02 	3.84085e-02 	
7.68170e-02 	2.19477e-02 	1.09738e-02 	2.19477e-02 	7.68170e-02 	
1.15225e-01 	3.29215e-02 	1.64608e-02 	3.29215e-02 	1.15225e-01 	
1.53634e-01 	4.38953e-02 	2.19476e-02 	4.38953e-02 	1.53634e-01 	
1.92042e-01 	5.48690e-02 	2.74345e-02 	5.48690e-02 	1.92042e-01 	
2.30449e-01 	6.58425e-02 	3.29212e-02 	6.58425e-02 	2.30449e-01 	
2.68856e-01 	7.68159e-02 	3.84079e-02 	7.68159e-02 	2.68856e-01 	
3.07262e-01 	8.77890e-02 	4.38945e-02 	8.77890e-02 	3.07262e-01 	
3.45666e-01 	9.87616e-02 	4.93808e-02 	9.87616e-02 	3.45666e-01 	
3.84068e-01 	1.09734e-01 	5.48668e-02 	1.09734e-01 	3.84068e-01 	
4.22468e-01 	1.20705e-01 	6.03524e-02 	1.20705e-01 	4.22468e-01 	
4.60863e-01 	1.31675e-01 	6.58374e-02 	1.31675e-01 	4.60863e-01 	
4.99252e-01 	1.42643e-01 	7.13215e-02 	1.42643e-01 	4.99252e-01 	
5.37633e-01 	1.53609e-01 	7.68045e-02 	1.53609e-01 	5.37633e-01 	
5.76002e-01 	1.64572e-01 	8.22859e-02 	1.64572e-01 	5.76002e-01 	
6.14357e-01 	1.75530e-01 	8.77650e-02 	1.75530e-01 	6.14357e-01 	
6.52688e-01 	1.86482e-01 	9.32409e-02 	1.86482e-01 	6.52688e-01 	
6.90865e-01 	1.97390e-01 	9.86948e-02 	1.97390e-01 	6.90865e-01 	
7.20854e-01 	2.05958e-01 	1.02979e-01 	2.05958e-01 	7.20854e-01 	
3.62455e-01 	1.03558e-01 	5.17791e-02 	1.03558e-01 	3.62455e-01 	
-6.83173e-01 	-1.95192e-01 	-9.75959e-02 	-1.95192e-01 	-6.83173e-01 	
-7.09086e-01 	-2.02595e-01 	-1.01298e-01 	-2.02595e-01 	-7.09086e-01 	
-6.71831e-01 	-1.91951e-01 	-9.59755e-02 	-1.91951e-01 	-6.71831e-01 	
-6.33526e-01 	-1.81007e-01 	-9.05035e-02 	-1.81007e-01 	-6.33526e-01 	
-5.95182e-01 	-1.70052e-01 	-8.50257e-02 	-1.70052e-01 	-5.95182e-01 	
