-6.559752e-16	-6.526361e-16	-6.495392e-16	-6.466820e-16	-6.440621e-16	-6.416774e-16	-6.395259e-16	-6.376058e-16	-6.359154e-16	-6.344532e-16	-6.332179e-16	-6.322084e-16	-6.314236e-16	-6.308628e-16	-6.305252e-16	-6.304105e-16	-6.305182e-16	
-2.945008e-02	-2.576794e-02	-2.208616e-02	-1.840467e-02	-1.472343e-02	-1.104240e-02	-7.361516e-03	-3.680733e-03	-6.018200e-16	3.680733e-03	7.361516e-03	1.104240e-02	1.472343e-02	1.840467e-02	2.208616e-02	2.576794e-02	2.945008e-02	
-5.894549e-02	-5.157555e-02	-4.420631e-02	-3.683767e-02	-2.946954e-02	-2.210180e-02	-1.473437e-02	-7.367133e-03	-6.674111e-16	7.367133e-03	1.473437e-02	2.210180e-02	2.946954e-02	3.683767e-02	4.420631e-02	5.157555e-02	5.894549e-02	
-8.853184e-02	-7.746273e-02	-6.639468e-02	-5.532752e-02	-4.426111e-02	-3.319531e-02	-2.212995e-02	-1.106490e-02	-8.553407e-16	1.106490e-02	2.212995e-02	3.319531e-02	4.426111e-02	5.532752e-02	6.639468e-02	7.746273e-02	8.853184e-02	
-1.182553e-01	-1.034699e-01	-8.868591e-02	-7.390309e-02	-5.912127e-02	-4.434025e-02	-2.955983e-02	-1.477982e-02	-6.000575e-16	1.477982e-02	2.955983e-02	4.434025e-02	5.912127e-02	7.390309e-02	8.868591e-02	1.034699e-01	1.182553e-01	
-1.481631e-01	-1.296383e-01	-1.111153e-01	-9.259381e-02	-7.407355e-02	-5.555429e-02	-3.703578e-02	-1.851776e-02	-6.419370e-16	1.851776e-02	3.703578e-02	5.555429e-02	7.407355e-02	9.259381e-02	1.111153e-01	1.296383e-01	1.481631e-01	
-1.783033e-01	-1.560102e-01	-1.337191e-01	-1.114299e-01	-8.914211e-02	-6.685554e-02	-4.456986e-02	-2.228478e-02	-2.521884e-16	2.228478e-02	4.456986e-02	6.685554e-02	8.914211e-02	1.114299e-01	1.337191e-01	1.560102e-01	1.783033e-01	
-2.087260e-01	-1.826291e-01	-1.565347e-01	-1.304424e-01	-1.043519e-01	-7.826268e-02	-5.217454e-02	-2.608709e-02	-8.409850e-16	2.608709e-02	5.217454e-02	7.826268e-02	1.043519e-01	1.304424e-01	1.565347e-01	1.826291e-01	2.087260e-01	
-2.394827e-01	-2.095404e-01	-1.796009e-01	-1.496638e-01	-1.197287e-01	-8.979512e-02	-5.986275e-02	-2.993118e-02	-3.914228e-16	2.993118e-02	5.986275e-02	8.979512e-02	1.197287e-01	1.496638e-01	1.796009e-01	2.095404e-01	2.394827e-01	
-2.706275e-01	-2.367913e-01	-2.029582e-01	-1.691278e-01	-1.352995e-01	-1.014731e-01	-6.764799e-02	-3.382378e-02	-7.583828e-16	3.382378e-02	6.764799e-02	1.014731e-01	1.352995e-01	1.691278e-01	2.029582e-01	2.367913e-01	2.706275e-01	
-3.022171e-01	-2.644314e-01	-2.266491e-01	-1.888697e-01	-1.510928e-01	-1.133179e-01	-7.554445e-02	-3.777198e-02	-1.147331e-15	3.777198e-02	7.554445e-02	1.133179e-01	1.510928e-01	1.888697e-01	2.266491e-01	2.644314e-01	3.022171e-01	
-3.343114e-01	-2.925131e-01	-2.507185e-01	-2.089272e-01	-1.671385e-01	-1.253520e-01	-8.356710e-02	-4.178328e-02	-1.118104e-15	4.178328e-02	8.356710e-02	1.253520e-01	1.671385e-01	2.089272e-01	2.507185e-01	2.925131e-01	3.343114e-01	
-3.669740e-01	-3.210920e-01	-2.752142e-01	-2.293398e-01	-1.834683e-01	-1.375992e-01	-9.173183e-02	-4.586562e-02	-4.736417e-16	4.586562e-02	9.173183e-02	1.375992e-01	1.834683e-01	2.293398e-01	2.752142e-01	3.210920e-01	3.669740e-01	
-4.002726e-01	-3.502276e-01	-3.001869e-01	-2.501500e-01	-2.001162e-01	-1.500850e-01	-1.000556e-01	-5.002749e-02	-6.510730e-16	5.002749e-02	1.000556e-01	1.500850e-01	2.001162e-01	2.501500e-01	3.001869e-01	3.502276e-01	4.002726e-01	
-4.342802e-01	-3.799834e-01	-3.256914e-01	-2.714033e-01	-2.171186e-01	-1.628366e-01	-1.085566e-01	-5.427797e-02	-7.623460e-16	5.427797e-02	1.085566e-01	1.628366e-01	2.171186e-01	2.714033e-01	3.256914e-01	3.799834e-01	4.342802e-01	
-4.690751e-01	-4.104282e-01	-3.517864e-01	-2.931488e-01	-2.345147e-01	-1.758835e-01	-1.172545e-01	-5.862689e-02	-6.028615e-16	5.862689e-02	1.172545e-01	1.758835e-01	2.345147e-01	2.931488e-01	3.517864e-01	4.104282e-01	4.690751e-01	
-5.047424e-01	-4.416364e-01	-3.785357e-01	-3.154395e-01	-2.523470e-01	-1.892576e-01	-1.261705e-01	-6.308487e-02	-2.826965e-16	6.308487e-02	1.261705e-01	1.892576e-01	2.523470e-01	3.154395e-01	3.785357e-01	4.416364e-01	5.047424e-01	
-5.413746e-01	-4.736889e-01	-4.060087e-01	-3.383333e-01	-2.706619e-01	-2.029936e-01	-1.353277e-01	-6.766348e-02	1.000816e-15	6.766348e-02	1.353277e-01	2.029936e-01	2.706619e-01	3.383333e-01	4.060087e-01	4.736889e-01	5.413746e-01	
-5.790730e-01	-5.066743e-01	-4.342814e-01	-3.618935e-01	-2.895098e-01	-2.171294e-01	-1.447516e-01	-7.237537e-02	-4.325857e-16	7.237537e-02	1.447516e-01	2.171294e-01	2.895098e-01	3.618935e-01	4.342814e-01	5.066743e-01	5.790730e-01	
