-3.138613e+00	-3.053610e+00	-2.983849e+00	-2.927971e+00	-2.884920e+00	-2.853910e+00	-2.834389e+00	-2.826026e+00	-2.828703e+00	-2.842518e+00	-2.867795e+00	-2.905116e+00	-2.955353e+00	-3.019731e+00	-3.099900e+00	-3.198046e+00	-3.317032e+00	-3.460585e+00	-3.633553e+00	-3.842236e+00	-4.094835e+00	-4.402040e+00	-4.777816e+00	
-8.541714e+14	-7.996540e+14	-7.492614e+14	-7.027335e+14	-6.598306e+14	-6.203312e+14	-5.840315e+14	-5.507445e+14	-5.202982e+14	-4.925358e+14	-4.673140e+14	-4.445027e+14	-4.239842e+14	-4.056527e+14	-3.894137e+14	-3.751833e+14	-3.628882e+14	-3.524650e+14	-3.438598e+14	-3.370283e+14	-3.319354e+14	-3.285545e+14	-3.268685e+14	
-1.706816e+15	-1.597878e+15	-1.497183e+15	-1.404211e+15	-1.318481e+15	-1.239553e+15	-1.167019e+15	-1.100504e+15	-1.039666e+15	-9.841910e+14	-9.337924e+14	-8.882106e+14	-8.472103e+14	-8.105801e+14	-7.781311e+14	-7.496958e+14	-7.251276e+14	-7.042997e+14	-6.871048e+14	-6.734541e+14	-6.632772e+14	-6.565216e+14	-6.531525e+14	
-2.556409e+15	-2.393247e+15	-2.242429e+15	-2.103178e+15	-1.974776e+15	-1.856560e+15	-1.747920e+15	-1.648297e+15	-1.557176e+15	-1.474087e+15	-1.398602e+15	-1.330331e+15	-1.268922e+15	-1.214059e+15	-1.165458e+15	-1.122868e+15	-1.086071e+15	-1.054876e+15	-1.029122e+15	-1.008676e+15	-9.934337e+14	-9.833154e+14	-9.782693e+14	
-3.401438e+15	-3.184341e+15	-2.983670e+15	-2.798390e+15	-2.627544e+15	-2.470251e+15	-2.325700e+15	-2.193146e+15	-2.071905e+15	-1.961351e+15	-1.860914e+15	-1.770076e+15	-1.688368e+15	-1.615370e+15	-1.550703e+15	-1.494036e+15	-1.445075e+15	-1.403568e+15	-1.369301e+15	-1.342097e+15	-1.321816e+15	-1.308353e+15	-1.301639e+15	
-4.240398e+15	-3.969755e+15	-3.719589e+15	-3.488609e+15	-3.275624e+15	-3.079535e+15	-2.899332e+15	-2.734083e+15	-2.582938e+15	-2.445116e+15	-2.319906e+15	-2.206663e+15	-2.104802e+15	-2.013798e+15	-1.933182e+15	-1.862538e+15	-1.801501e+15	-1.749756e+15	-1.707037e+15	-1.673124e+15	-1.647840e+15	-1.631057e+15	-1.622687e+15	
-5.071804e+15	-4.748097e+15	-4.448881e+15	-4.172613e+15	-3.917869e+15	-3.683333e+15	-3.467797e+15	-3.270149e+15	-3.089369e+15	-2.924524e+15	-2.774765e+15	-2.639319e+15	-2.517486e+15	-2.408640e+15	-2.312217e+15	-2.227722e+15	-2.154717e+15	-2.092827e+15	-2.041733e+15	-2.001169e+15	-1.970929e+15	-1.950855e+15	-1.940843e+15	
-5.894189e+15	-5.517993e+15	-5.170260e+15	-4.849196e+15	-4.553145e+15	-4.280580e+15	-4.030095e+15	-3.800399e+15	-3.590305e+15	-3.398731e+15	-3.224689e+15	-3.067280e+15	-2.925693e+15	-2.799197e+15	-2.687140e+15	-2.588943e+15	-2.504101e+15	-2.432176e+15	-2.372796e+15	-2.325656e+15	-2.290512e+15	-2.267183e+15	-2.255548e+15	
-6.706112e+15	-6.278095e+15	-5.882461e+15	-5.517171e+15	-5.180339e+15	-4.870229e+15	-4.585240e+15	-4.323902e+15	-4.084869e+15	-3.866906e+15	-3.668889e+15	-3.489797e+15	-3.328706e+15	-3.184785e+15	-3.057292e+15	-2.945569e+15	-2.849040e+15	-2.767207e+15	-2.699648e+15	-2.646014e+15	-2.606029e+15	-2.579486e+15	-2.566249e+15	
-7.506158e+15	-7.027078e+15	-6.584245e+15	-6.175375e+15	-5.798359e+15	-5.451252e+15	-5.132263e+15	-4.839748e+15	-4.572198e+15	-4.328231e+15	-4.106591e+15	-3.906133e+15	-3.725824e+15	-3.564733e+15	-3.422030e+15	-3.296979e+15	-3.188934e+15	-3.097338e+15	-3.021719e+15	-2.961687e+15	-2.916931e+15	-2.887222e+15	-2.872405e+15	
