-4.643765e-16	-4.675337e-16	-4.704974e-16	-4.732689e-16	-4.758486e-16	-4.782356e-16	-4.804274e-16	-4.824191e-16	-4.842029e-16	-4.857678e-16	-4.870983e-16	-4.881738e-16	-4.889672e-16	-4.894431e-16	-4.895559e-16	-4.892465e-16	-4.884390e-16	-4.870354e-16	-4.849087e-16	-4.818949e-16	-4.777807e-16	-4.722885e-16	-4.650558e-16	
-2.071364e-03	-2.033289e-03	-1.951519e-03	-1.831047e-03	-1.676667e-03	-1.492996e-03	-1.284503e-03	-1.055526e-03	-8.102989e-04	-5.529711e-04	-2.876299e-04	-1.832106e-05	2.509302e-04	5.160982e-04	7.731363e-04	1.017956e-03	1.246405e-03	1.454248e-03	1.637142e-03	1.790616e-03	1.910046e-03	1.990634e-03	2.027381e-03	
-4.143611e-03	-4.067401e-03	-3.903795e-03	-3.662780e-03	-3.353943e-03	-2.986523e-03	-2.569454e-03	-2.111415e-03	-1.620874e-03	-1.106130e-03	-5.753581e-04	-3.665051e-05	5.019418e-04	1.032367e-03	1.546531e-03	2.036257e-03	2.493240e-03	2.909008e-03	3.274874e-03	3.581896e-03	3.820827e-03	3.982069e-03	4.055622e-03	
-6.217624e-03	-6.103157e-03	-5.857582e-03	-5.495881e-03	-5.032438e-03	-4.481110e-03	-3.855300e-03	-3.168030e-03	-2.432001e-03	-1.659664e-03	-8.632828e-04	-5.499676e-05	7.531161e-04	1.548977e-03	2.320444e-03	3.055249e-03	3.740934e-03	4.364790e-03	4.913785e-03	5.374505e-03	5.733077e-03	5.975103e-03	6.085581e-03	
-8.294283e-03	-8.141377e-03	-7.813634e-03	-7.331035e-03	-6.712759e-03	-5.977285e-03	-5.142489e-03	-4.225733e-03	-3.243955e-03	-2.213760e-03	-1.151502e-03	-7.336815e-05	1.004535e-03	2.066099e-03	3.095132e-03	4.075275e-03	4.989916e-03	5.822105e-03	6.554465e-03	7.169106e-03	7.647530e-03	7.970535e-03	8.118117e-03	
-1.037447e-02	-1.018288e-02	-9.772706e-03	-9.168923e-03	-8.395513e-03	-7.475578e-03	-6.431466e-03	-5.284885e-03	-4.057012e-03	-2.768606e-03	-1.440113e-03	-9.177301e-05	1.256278e-03	2.583902e-03	3.870854e-03	5.096681e-03	6.240615e-03	7.281462e-03	8.197500e-03	8.966361e-03	9.564917e-03	9.969161e-03	1.015409e-02	
-1.245906e-02	-1.222848e-02	-1.173555e-02	-1.101023e-02	-1.008130e-02	-8.976513e-03	-7.722676e-03	-6.345847e-03	-4.871445e-03	-3.324387e-03	-1.729215e-03	-1.102196e-04	1.508428e-03	3.102556e-03	4.647866e-03	6.119809e-03	7.493456e-03	8.743370e-03	9.843477e-03	1.076693e-02	1.148597e-02	1.197178e-02	1.219434e-02	
-1.454892e-02	-1.427900e-02	-1.370290e-02	-1.285562e-02	-1.177074e-02	-1.048062e-02	-9.016561e-03	-7.408977e-03	-5.687527e-03	-3.881290e-03	-2.018903e-03	-1.287163e-04	1.761064e-03	3.622229e-03	5.426425e-03	7.145001e-03	8.748865e-03	1.020833e-02	1.149298e-02	1.257147e-02	1.341141e-02	1.397917e-02	1.423973e-02	
-1.664493e-02	-1.633524e-02	-1.567552e-02	-1.470578e-02	-1.346441e-02	-1.198841e-02	-1.031356e-02	-8.474633e-03	-6.505531e-03	-4.439497e-03	-2.309274e-03	-1.472710e-04	2.014267e-03	4.143091e-03	6.206785e-03	8.172596e-03	1.000726e-02	1.167686e-02	1.314659e-02	1.438063e-02	1.534196e-02	1.599214e-02	1.629110e-02	
-1.874794e-02	-1.839800e-02	-1.765414e-02	-1.656137e-02	-1.516292e-02	-1.350041e-02	-1.161412e-02	-9.543170e-03	-7.325725e-03	-4.999195e-03	-2.600426e-03	-1.658919e-04	2.268117e-03	4.665308e-03	6.989200e-03	9.202933e-03	1.126908e-02	1.314944e-02	1.480488e-02	1.619507e-02	1.727835e-02	1.801145e-02	1.834930e-02	
-2.085883e-02	-2.046809e-02	-1.963950e-02	-1.842307e-02	-1.686686e-02	-1.501713e-02	-1.291867e-02	-1.061494e-02	-8.148379e-03	-5.560563e-03	-2.892452e-03	-1.845870e-04	2.522693e-03	5.189047e-03	7.773923e-03	1.023635e-02	1.253472e-02	1.462658e-02	1.646843e-02	1.801544e-02	1.922129e-02	2.003789e-02	2.041515e-02	
