1.903986e-17	9.547013e-18	3.644479e-18	-1.169896e-18	-6.556940e-18	-1.345614e-17	-2.041018e-17	
-9.145603e-03	-5.693211e-03	-3.562157e-03	-2.257845e-03	-1.477557e-03	-1.040195e-03	-8.442524e-04	
-1.830638e-02	-1.139587e-02	-7.130223e-03	-4.519435e-03	-2.957565e-03	-2.082116e-03	-1.689905e-03	
-2.749761e-02	-1.711748e-02	-1.071015e-02	-6.788546e-03	-4.442494e-03	-3.127501e-03	-2.538370e-03	
-3.673485e-02	-2.286774e-02	-1.430800e-02	-9.069014e-03	-5.934855e-03	-4.178118e-03	-3.391081e-03	
-4.603401e-02	-2.865654e-02	-1.792997e-02	-1.136477e-02	-7.437221e-03	-5.235778e-03	-4.249509e-03	
-5.541152e-02	-3.449412e-02	-2.158245e-02	-1.367987e-02	-8.952245e-03	-6.302350e-03	-5.115170e-03	
-6.488448e-02	-4.039111e-02	-2.527211e-02	-1.601853e-02	-1.048269e-02	-7.379778e-03	-5.989641e-03	
-7.447081e-02	-4.635867e-02	-2.900593e-02	-1.838518e-02	-1.203145e-02	-8.470099e-03	-6.874577e-03	
-8.418940e-02	-5.240857e-02	-3.279126e-02	-2.078448e-02	-1.360158e-02	-9.575465e-03	-7.771724e-03	
-9.406036e-02	-5.855332e-02	-3.663594e-02	-2.322140e-02	-1.519632e-02	-1.069816e-02	-8.682936e-03	
-1.041052e-01	-6.480631e-02	-4.054834e-02	-2.570125e-02	-1.681916e-02	-1.184063e-02	-9.610198e-03	
-1.143471e-01	-7.118197e-02	-4.453750e-02	-2.822974e-02	-1.847383e-02	-1.300551e-02	-1.055565e-02	
-1.248111e-01	-7.769592e-02	-4.861318e-02	-3.081308e-02	-2.016439e-02	-1.419567e-02	-1.152161e-02	
-1.355247e-01	-8.436524e-02	-5.278607e-02	-3.345803e-02	-2.189528e-02	-1.541420e-02	-1.251061e-02	
-1.465180e-01	-9.120863e-02	-5.706788e-02	-3.617202e-02	-2.367134e-02	-1.666454e-02	-1.352543e-02	
-1.578241e-01	-9.824677e-02	-6.147154e-02	-3.896325e-02	-2.549795e-02	-1.795047e-02	-1.456912e-02	
-1.694799e-01	-1.055026e-01	-6.601141e-02	-4.184081e-02	-2.738105e-02	-1.927617e-02	-1.564510e-02	
-1.815267e-01	-1.130018e-01	-7.070355e-02	-4.481489e-02	-2.932732e-02	-2.064633e-02	-1.675716e-02	
