-4.936814e-16	-4.959375e-16	-4.979048e-16	-4.996554e-16	-5.012462e-16	-5.027218e-16	-5.041173e-16	-5.054604e-16	-5.067725e-16	-5.080707e-16	-5.093679e-16	-5.106740e-16	-5.119962e-16	-5.133398e-16	-5.147079e-16	-5.161023e-16	-5.175232e-16	-5.189694e-16	-5.204383e-16	-5.219261e-16	-5.234273e-16	-5.249349e-16	-5.264397e-16	-5.279304e-16	-5.293927e-16	-5.308089e-16	-5.321565e-16	-5.334078e-16	-5.345273e-16	-5.354707e-16	-5.361810e-16	
5.354296e-03	5.449815e-03	5.649213e-03	5.948108e-03	6.342627e-03	6.829394e-03	7.405508e-03	8.068528e-03	8.816463e-03	9.647757e-03	1.056129e-02	1.155636e-02	1.263268e-02	1.379041e-02	1.503009e-02	1.635272e-02	1.775969e-02	1.925287e-02	2.083454e-02	2.250744e-02	2.427479e-02	2.614031e-02	2.810819e-02	3.018318e-02	3.237057e-02	3.467623e-02	3.710665e-02	3.966894e-02	4.237091e-02	4.522108e-02	4.822875e-02	
1.070844e-02	1.089955e-02	1.129842e-02	1.189631e-02	1.268545e-02	1.365910e-02	1.481145e-02	1.613763e-02	1.763365e-02	1.929640e-02	2.112363e-02	2.311395e-02	2.526679e-02	2.758244e-02	3.006202e-02	3.270750e-02	3.552168e-02	3.850828e-02	4.167187e-02	4.501794e-02	4.855292e-02	5.228424e-02	5.622031e-02	6.037061e-02	6.474572e-02	6.935739e-02	7.421858e-02	7.934354e-02	8.474787e-02	9.044864e-02	9.646442e-02	
1.606229e-02	1.634911e-02	1.694763e-02	1.784468e-02	1.902866e-02	2.048942e-02	2.221828e-02	2.420789e-02	2.645229e-02	2.894681e-02	3.168809e-02	3.467402e-02	3.790376e-02	4.137774e-02	4.509764e-02	4.906640e-02	5.328827e-02	5.776877e-02	6.251478e-02	6.753455e-02	7.283773e-02	7.843543e-02	8.434030e-02	9.056654e-02	9.713003e-02	1.040484e-01	1.113411e-01	1.190295e-01	1.271370e-01	1.356891e-01	1.447139e-01	
2.141570e-02	2.179844e-02	2.259683e-02	2.379333e-02	2.537245e-02	2.732068e-02	2.962641e-02	3.227988e-02	3.527311e-02	3.859988e-02	4.225571e-02	4.623779e-02	5.054501e-02	5.517792e-02	6.013877e-02	6.543149e-02	7.106173e-02	7.703687e-02	8.336608e-02	9.006034e-02	9.713255e-02	1.045975e-01	1.124721e-01	1.207752e-01	1.295281e-01	1.387542e-01	1.484794e-01	1.587324e-01	1.695442e-01	1.809491e-01	1.929841e-01	
2.676851e-02	2.724743e-02	2.824601e-02	2.974233e-02	3.171702e-02	3.415318e-02	3.703629e-02	4.035416e-02	4.409682e-02	4.825649e-02	5.282755e-02	5.780651e-02	6.319195e-02	6.898460e-02	7.518725e-02	8.180482e-02	8.884436e-02	9.631511e-02	1.042285e-01	1.125984e-01	1.214407e-01	1.307741e-01	1.406195e-01	1.510008e-01	1.619444e-01	1.734796e-01	1.856389e-01	1.984579e-01	2.119757e-01	2.262348e-01	2.412818e-01	
3.212058e-02	3.269601e-02	3.389519e-02	3.569178e-02	3.806255e-02	4.098722e-02	4.444836e-02	4.843133e-02	5.292416e-02	5.791752e-02	6.340466e-02	6.938139e-02	7.584602e-02	8.279941e-02	9.024491e-02	9.818843e-02	1.066384e-01	1.156060e-01	1.251049e-01	1.351516e-01	1.457655e-01	1.569687e-01	1.687866e-01	1.812476e-01	1.943836e-01	2.082296e-01	2.228247e-01	2.382117e-01	2.544373e-01	2.715529e-01	2.896141e-01	
3.747176e-02	3.814410e-02	3.954435e-02	4.164177e-02	4.440925e-02	4.782312e-02	5.186304e-02	5.651193e-02	6.175583e-02	6.758383e-02	7.398808e-02	8.096366e-02	8.850862e-02	9.662395e-02	1.053136e-01	1.145844e-01	1.244462e-01	1.349121e-01	1.459980e-01	1.577232e-01	1.701102e-01	1.831851e-01	1.969772e-01	2.115198e-01	2.268501e-01	2.430091e-01	2.600422e-01	2.779993e-01	2.969352e-01	3.169096e-01	3.379876e-01	
4.282190e-02	4.359162e-02	4.519349e-02	4.759238e-02	5.075729e-02	5.466117e-02	5.928078e-02	6.459655e-02	7.059255e-02	7.725631e-02	8.457885e-02	9.255454e-02	1.011812e-01	1.104598e-01	1.203950e-01	1.309947e-01	1.422700e-01	1.542358e-01	1.669105e-01	1.803160e-01	1.944782e-01	2.094266e-01	2.251951e-01	2.418216e-01	2.593485e-01	2.778228e-01	2.972964e-01	3.178264e-01	3.394753e-01	3.623114e-01	3.864091e-01	
4.817087e-02	4.903849e-02	5.084261e-02	5.354371e-02	5.710688e-02	6.150169e-02	6.670198e-02	7.268575e-02	7.943504e-02	8.693583e-02	9.517800e-02	1.041552e-01	1.138650e-01	1.243086e-01	1.354911e-01	1.474213e-01	1.601120e-01	1.735797e-01	1.878452e-01	2.029332e-01	2.188727e-01	2.356970e-01	2.534443e-01	2.721571e-01	2.918832e-01	3.126756e-01	3.345925e-01	3.576984e-01	3.820634e-01	4.077646e-01	4.348855e-01	
