-3.697963e-16	-3.647211e-16	-3.612758e-16	-3.587040e-16	-3.565922e-16	-3.547063e-16	-3.528789e-16	-3.509439e-16	-3.486893e-16	-3.458111e-16	-3.418731e-16	-3.363657e-16	-3.295328e-16	
-9.312465e-03	-8.620062e-03	-7.357615e-03	-5.746303e-03	-3.926307e-03	-1.989351e-03	-3.915759e-15	1.989351e-03	3.926307e-03	5.746303e-03	7.357615e-03	8.620062e-03	9.312465e-03	
-1.864186e-02	-1.725546e-02	-1.472816e-02	-1.150263e-02	-7.859435e-03	-3.982150e-03	-7.633976e-15	3.982150e-03	7.859435e-03	1.150263e-02	1.472816e-02	1.725546e-02	1.864186e-02	
-2.800524e-02	-2.592166e-02	-2.212467e-02	-1.727908e-02	-1.180625e-02	-5.981870e-03	-1.126096e-14	5.981870e-03	1.180625e-02	1.727908e-02	2.212467e-02	2.592166e-02	2.800524e-02	
-3.741990e-02	-3.463431e-02	-2.956034e-02	-2.308590e-02	-1.577373e-02	-7.992031e-03	-1.484858e-14	7.992031e-03	1.577373e-02	2.308590e-02	2.956034e-02	3.463431e-02	3.741990e-02	
-4.690351e-02	-4.340942e-02	-3.704867e-02	-2.893354e-02	-1.976897e-02	-1.001623e-02	-1.855504e-14	1.001623e-02	1.976897e-02	2.893354e-02	3.704867e-02	4.340942e-02	4.690351e-02	
-5.647421e-02	-5.226344e-02	-4.460353e-02	-3.483275e-02	-2.379930e-02	-1.205817e-02	-2.205961e-14	1.205817e-02	2.379930e-02	3.483275e-02	4.460353e-02	5.226344e-02	5.647421e-02	
-6.615083e-02	-6.121342e-02	-5.223928e-02	-4.079468e-02	-2.787230e-02	-1.412167e-02	-2.590072e-14	1.412167e-02	2.787230e-02	4.079468e-02	5.223928e-02	6.121342e-02	6.615083e-02	
-7.595294e-02	-7.027709e-02	-5.997089e-02	-4.683092e-02	-3.199584e-02	-1.621072e-02	-2.944129e-14	1.621072e-02	3.199584e-02	4.683092e-02	5.997089e-02	7.027709e-02	7.595294e-02	
-8.590111e-02	-7.947309e-02	-6.781404e-02	-5.295363e-02	-3.617822e-02	-1.832952e-02	-3.332751e-14	1.832952e-02	3.617822e-02	5.295363e-02	6.781404e-02	7.947309e-02	8.590111e-02	
-9.601702e-02	-8.882104e-02	-7.578531e-02	-5.917566e-02	-4.042816e-02	-2.048246e-02	-3.724408e-14	2.048246e-02	4.042816e-02	5.917566e-02	7.578531e-02	8.882104e-02	9.601702e-02	
-1.063237e-01	-9.834183e-02	-8.390228e-02	-6.551065e-02	-4.475494e-02	-2.267425e-02	-4.068273e-14	2.267425e-02	4.475494e-02	6.551065e-02	8.390228e-02	9.834183e-02	1.063237e-01	
-1.168457e-01	-1.080577e-01	-9.218373e-02	-7.197314e-02	-4.916846e-02	-2.490989e-02	-4.411749e-14	2.490989e-02	4.916846e-02	7.197314e-02	9.218373e-02	1.080577e-01	1.168457e-01	
-1.276095e-01	-1.179926e-01	-1.006498e-01	-7.857878e-02	-5.367937e-02	-2.719476e-02	-4.807439e-14	2.719476e-02	5.367937e-02	7.857878e-02	1.006498e-01	1.179926e-01	1.276095e-01	
-1.386436e-01	-1.281724e-01	-1.093224e-01	-8.534445e-02	-5.829914e-02	-2.953465e-02	-5.275815e-14	2.953465e-02	5.829914e-02	8.534445e-02	1.093224e-01	1.281724e-01	1.386436e-01	
-1.499790e-01	-1.386251e-01	-1.182250e-01	-9.228849e-02	-6.304025e-02	-3.193589e-02	-5.686163e-14	3.193589e-02	6.304025e-02	9.228849e-02	1.182250e-01	1.386251e-01	1.499790e-01	
-1.616495e-01	-1.493815e-01	-1.273835e-01	-9.943094e-02	-6.791634e-02	-3.440535e-02	-6.092696e-14	3.440535e-02	6.791634e-02	9.943094e-02	1.273835e-01	1.493815e-01	1.616495e-01	
-1.736923e-01	-1.604750e-01	-1.368264e-01	-1.067938e-01	-7.294234e-02	-3.695059e-02	-6.367389e-14	3.695059e-02	7.294234e-02	1.067938e-01	1.368264e-01	1.604750e-01	1.736923e-01	
-1.861482e-01	-1.719428e-01	-1.465848e-01	-1.144012e-01	-7.813476e-02	-3.957995e-02	-6.860224e-14	3.957995e-02	7.813476e-02	1.144012e-01	1.465848e-01	1.719428e-01	1.861482e-01	
-1.990628e-01	-1.838262e-01	-1.566934e-01	-1.222802e-01	-8.351188e-02	-4.230268e-02	-7.279420e-14	4.230268e-02	8.351188e-02	1.222802e-01	1.566934e-01	1.838262e-01	1.990628e-01	
-2.124868e-01	-1.961709e-01	-1.671910e-01	-1.304607e-01	-8.909411e-02	-4.512910e-02	-7.771995e-14	4.512910e-02	8.909411e-02	1.304607e-01	1.671910e-01	1.961709e-01	2.124868e-01	
-2.264768e-01	-2.090284e-01	-1.781208e-01	-1.389762e-01	-9.490431e-02	-4.807074e-02	-8.059178e-14	4.807074e-02	9.490431e-02	1.389762e-01	1.781208e-01	2.090284e-01	2.264768e-01	
-2.410969e-01	-2.224566e-01	-1.895318e-01	-1.478648e-01	-1.009682e-01	-5.114065e-02	-8.657484e-14	5.114065e-02	1.009682e-01	1.478648e-01	1.895318e-01	2.224566e-01	2.410969e-01	
-2.564196e-01	-2.365214e-01	-2.014794e-01	-1.571693e-01	-1.073151e-01	-5.435357e-02	-8.979449e-14	5.435357e-02	1.073151e-01	1.571693e-01	2.014794e-01	2.365214e-01	2.564196e-01	
