11	27.93903534458621	29.124892316406097	3.52441	150.15015
13	32.36481224282751	33.64602484054137	3.60245	150.15015
15	36.328248645459325	37.66744362092715	3.63738	150.15015
17	39.81174864955648	41.184650434422714	3.64457	150.15015
21	45.37747123105239	46.77485771483897	3.61477	150.15015
25	49.31781301109495	50.71202486814371	3.56756	150.15015
29	53.215794284095495	54.67392742940046	3.62721	150.15015
33	55.05969827812616	56.50870687245943	3.5929	150.15015
37	56.34436211668873	57.792770951412436	3.57508	150.15015
41	57.270183583097314	58.73030167659246	3.56973	150.15015
45	57.96424419847797	59.43439495446105	3.57295	150.15015
49	58.498638287315664	59.997454724263704	3.58132	150.15015
9	23.817358009398426	24.959127758895793	3.54714	150.15015
