-2.22126e-17 	-2.53544e-17 	-3.13811e-17 	-4.25693e-17 	-6.31182e-17 	
-4.25211e-02 	-2.36353e-02 	-1.02999e-18 	2.36353e-02 	4.25211e-02 	
-8.51603e-02 	-4.74309e-02 	-2.08167e-17 	4.74309e-02 	8.51603e-02 	
-1.28066e-01 	-7.15793e-02 	-6.50521e-19 	7.15793e-02 	1.28066e-01 	
-1.71452e-01 	-9.63414e-02 	5.94143e-17 	9.63414e-02 	1.71452e-01 	
-2.15650e-01 	-1.22092e-01 	8.10983e-17 	1.22092e-01 	2.15650e-01 	
-2.61184e-01 	-1.49371e-01 	-6.50521e-17 	1.49371e-01 	2.61184e-01 	
-3.08875e-01 	-1.78943e-01 	-9.36751e-17 	1.78943e-01 	3.08875e-01 	
-3.59973e-01 	-2.11832e-01 	-3.55618e-17 	2.11832e-01 	3.59973e-01 	
-4.16282e-01 	-2.49264e-01 	-1.66533e-16 	2.49264e-01 	4.16282e-01 	
-4.80168e-01 	-2.92417e-01 	-1.23165e-16 	2.92417e-01 	4.80168e-01 	
-5.54190e-01 	-3.41767e-01 	-9.10730e-18 	3.41767e-01 	5.54190e-01 	
-6.40035e-01 	-3.95993e-01 	-2.39826e-16 	3.95993e-01 	6.40035e-01 	
-7.36678e-01 	-4.50840e-01 	-2.01445e-16 	4.50840e-01 	7.36678e-01 	
-8.38711e-01 	-4.99140e-01 	1.70816e-16 	4.99140e-01 	8.38711e-01 	
-9.36704e-01 	-5.33063e-01 	4.22514e-16 	5.33063e-01 	9.36704e-01 	
-1.02029e+00 	-5.47592e-01 	1.14578e-15 	5.47592e-01 	1.02029e+00 	
-1.08175e+00 	-5.42378e-01 	4.51895e-16 	5.42378e-01 	1.08175e+00 	
-1.11722e+00 	-5.20671e-01 	3.07046e-16 	5.20671e-01 	1.11722e+00 	
-1.12558e+00 	-4.86950e-01 	3.46945e-18 	4.86950e-01 	1.12558e+00 	
-1.10672e+00 	-4.45184e-01 	7.45931e-17 	4.45184e-01 	1.10672e+00 	
