-5.080682e-16	-5.110879e-16	-5.139815e-16	-5.167586e-16	-5.194282e-16	-5.219993e-16	-5.244800e-16	-5.268782e-16	-5.292010e-16	-5.314550e-16	-5.336460e-16	-5.357794e-16	-5.378601e-16	-5.398920e-16	-5.418790e-16	-5.438239e-16	-5.457295e-16	-5.475977e-16	-5.494299e-16	-5.512273e-16	-5.529900e-16	-5.547182e-16	-5.564109e-16	-5.580670e-16	-5.596845e-16	-5.612605e-16	-5.627916e-16	-5.642732e-16	-5.656999e-16	-5.670648e-16	-5.683595e-16	-5.695739e-16	-5.706955e-16	-5.717091e-16	-5.725960e-16	-5.733330e-16	-5.738916e-16	-5.742359e-16	-5.743209e-16	-5.740898e-16	-5.734702e-16	-5.723700e-16	-5.706704e-16	-5.682186e-16	-5.648162e-16	-5.602055e-16	-5.540502e-16	
-9.912715e-03	-9.858637e-03	-9.747079e-03	-9.582390e-03	-9.368647e-03	-9.109671e-03	-8.809052e-03	-8.470164e-03	-8.096183e-03	-7.690105e-03	-7.254760e-03	-6.792826e-03	-6.306845e-03	-5.799234e-03	-5.272299e-03	-4.728246e-03	-4.169193e-03	-3.597179e-03	-3.014178e-03	-2.422106e-03	-1.822833e-03	-1.218192e-03	-6.099867e-04	-4.611006e-09	6.099775e-04	1.218182e-03	1.822823e-03	2.422096e-03	3.014168e-03	3.597169e-03	4.169183e-03	4.728236e-03	5.272288e-03	5.799223e-03	6.306833e-03	6.792814e-03	7.254747e-03	7.690092e-03	8.096169e-03	8.470149e-03	8.809036e-03	9.109655e-03	9.368629e-03	9.582372e-03	9.747060e-03	9.858617e-03	9.912693e-03	
-1.982707e-02	-1.971887e-02	-1.949571e-02	-1.916629e-02	-1.873875e-02	-1.822074e-02	-1.761944e-02	-1.694160e-02	-1.619357e-02	-1.538135e-02	-1.451059e-02	-1.358665e-02	-1.261461e-02	-1.159931e-02	-1.054536e-02	-9.457173e-03	-8.338983e-03	-7.194872e-03	-6.028785e-03	-4.844556e-03	-3.645925e-03	-2.436556e-03	-1.220060e-03	-9.224284e-09	1.220042e-03	2.436538e-03	3.645906e-03	4.844537e-03	6.028766e-03	7.194852e-03	8.338963e-03	9.457152e-03	1.054534e-02	1.159929e-02	1.261458e-02	1.358662e-02	1.451056e-02	1.538132e-02	1.619355e-02	1.694157e-02	1.761941e-02	1.822071e-02	1.873871e-02	1.916625e-02	1.949568e-02	1.971883e-02	1.982703e-02	
-2.974470e-02	-2.958231e-02	-2.924746e-02	-2.875320e-02	-2.811176e-02	-2.733461e-02	-2.643251e-02	-2.541559e-02	-2.429338e-02	-2.307487e-02	-2.176855e-02	-2.038245e-02	-1.892421e-02	-1.740106e-02	-1.581994e-02	-1.418746e-02	-1.250997e-02	-1.079359e-02	-9.044252e-03	-7.267697e-03	-5.469535e-03	-3.655267e-03	-1.830307e-03	-1.384210e-08	1.830279e-03	3.655239e-03	5.469507e-03	7.267668e-03	9.044223e-03	1.079356e-02	1.250994e-02	1.418743e-02	1.581991e-02	1.740103e-02	1.892417e-02	2.038242e-02	2.176851e-02	2.307483e-02	2.429334e-02	2.541555e-02	2.643246e-02	2.733456e-02	2.811171e-02	2.875315e-02	2.924740e-02	2.958225e-02	2.974464e-02	
-3.966725e-02	-3.945054e-02	-3.900387e-02	-3.834463e-02	-3.748913e-02	-3.645266e-02	-3.524958e-02	-3.389340e-02	-3.239681e-02	-3.077181e-02	-2.902971e-02	-2.718124e-02	-2.523656e-02	-2.320533e-02	-2.109680e-02	-1.891978e-02	-1.668274e-02	-1.439385e-02	-1.206101e-02	-9.691870e-03	-7.293922e-03	-4.874496e-03	-2.440813e-03	-1.846673e-08	2.440776e-03	4.874459e-03	7.293885e-03	9.691832e-03	1.206097e-02	1.439381e-02	1.668270e-02	1.891974e-02	2.109676e-02	2.320529e-02	2.523651e-02	2.718119e-02	2.902966e-02	3.077176e-02	3.239676e-02	3.389334e-02	3.524952e-02	3.645260e-02	3.748906e-02	3.834456e-02	3.900379e-02	3.945046e-02	3.966716e-02	
-4.959633e-02	-4.932516e-02	-4.876649e-02	-4.794207e-02	-4.687230e-02	-4.557629e-02	-4.407200e-02	-4.237629e-02	-4.050506e-02	-3.847329e-02	-3.629513e-02	-3.398399e-02	-3.155257e-02	-2.901296e-02	-2.637669e-02	-2.365481e-02	-2.085790e-02	-1.799617e-02	-1.507948e-02	-1.211742e-02	-9.119343e-03	-6.094416e-03	-3.051664e-03	-2.310043e-08	3.051618e-03	6.094369e-03	9.119296e-03	1.211737e-02	1.507943e-02	1.799612e-02	2.085785e-02	2.365476e-02	2.637664e-02	2.901290e-02	3.155251e-02	3.398393e-02	3.629507e-02	3.847322e-02	4.050499e-02	4.237622e-02	4.407192e-02	4.557621e-02	4.687222e-02	4.794198e-02	4.876639e-02	4.932506e-02	4.959622e-02	
-5.953357e-02	-5.920774e-02	-5.853685e-02	-5.754702e-02	-5.626272e-02	-5.470688e-02	-5.290107e-02	-5.086553e-02	-4.861932e-02	-4.618044e-02	-4.356587e-02	-4.079168e-02	-3.787314e-02	-3.482476e-02	-3.166037e-02	-2.839323e-02	-2.503603e-02	-2.160104e-02	-1.810009e-02	-1.454468e-02	-1.094605e-02	-7.315196e-03	-3.662946e-03	-2.774543e-08	3.662891e-03	7.315140e-03	1.094600e-02	1.454463e-02	1.810003e-02	2.160098e-02	2.503597e-02	2.839317e-02	3.166031e-02	3.482469e-02	3.787307e-02	4.079161e-02	4.356579e-02	4.618036e-02	4.861924e-02	5.086544e-02	5.290098e-02	5.470679e-02	5.626261e-02	5.754691e-02	5.853673e-02	5.920761e-02	5.953344e-02	
-6.948058e-02	-6.909984e-02	-6.831648e-02	-6.716094e-02	-6.566180e-02	-6.384580e-02	-6.173811e-02	-5.936236e-02	-5.674078e-02	-5.389438e-02	-5.084296e-02	-4.760530e-02	-4.419919e-02	-4.064157e-02	-3.694858e-02	-3.313569e-02	-2.921772e-02	-2.520897e-02	-2.112326e-02	-1.697400e-02	-1.277431e-02	-8.537007e-03	-4.274744e-03	-3.240398e-08	4.274679e-03	8.536942e-03	1.277424e-02	1.697394e-02	2.112319e-02	2.520890e-02	2.921765e-02	3.313562e-02	3.694851e-02	4.064149e-02	4.419911e-02	4.760521e-02	5.084287e-02	5.389428e-02	5.674069e-02	5.936225e-02	6.173801e-02	6.384569e-02	6.566167e-02	6.716082e-02	6.831634e-02	6.909970e-02	6.948042e-02	
-7.943894e-02	-7.900304e-02	-7.810689e-02	-7.678532e-02	-7.507096e-02	-7.299441e-02	-7.058443e-02	-6.786802e-02	-6.487062e-02	-6.161621e-02	-5.812745e-02	-5.442580e-02	-5.053159e-02	-4.646419e-02	-4.224206e-02	-3.788287e-02	-3.340356e-02	-2.882047e-02	-2.414941e-02	-1.940571e-02	-1.460436e-02	-9.760017e-03	-4.887142e-03	-3.707829e-08	4.887068e-03	9.759942e-03	1.460428e-02	1.940563e-02	2.414933e-02	2.882039e-02	3.340347e-02	3.788278e-02	4.224198e-02	4.646410e-02	5.053150e-02	5.442570e-02	5.812735e-02	6.161610e-02	6.487051e-02	6.786790e-02	7.058431e-02	7.299428e-02	7.507082e-02	7.678517e-02	7.810673e-02	7.900288e-02	7.943877e-02	
-8.941024e-02	-8.891886e-02	-8.790958e-02	-8.642159e-02	-8.449160e-02	-8.215406e-02	-7.944131e-02	-7.638375e-02	-7.300999e-02	-6.934703e-02	-6.542037e-02	-6.125414e-02	-5.687124e-02	-5.229345e-02	-4.754155e-02	-4.263541e-02	-3.759410e-02	-3.243602e-02	-2.717895e-02	-2.184014e-02	-1.643645e-02	-1.098439e-02	-5.500224e-03	-4.177056e-08	5.500140e-03	1.098431e-02	1.643637e-02	2.184005e-02	2.717886e-02	3.243593e-02	3.759401e-02	4.263531e-02	4.754145e-02	5.229335e-02	5.687114e-02	6.125403e-02	6.542026e-02	6.934691e-02	7.300986e-02	7.638361e-02	7.944117e-02	8.215391e-02	8.449144e-02	8.642142e-02	8.790941e-02	8.891868e-02	8.941005e-02	
