3	148.92286845000416
5	213.63422785273804
7	246.50032522149385
9	260.7241849320565
11	266.4649417584417
13	268.71662158854764
15	269.5897319895335
17	269.92687244626416
19	270.0568102292672
21	270.1068922872218
23	270.1262045533422
25	270.1336141770953
27	270.1364776016969
29	270.13756096419013
31	270.13798065848164
33	270.1381413869546
35	270.13816411922835
37	270.1382148472071
39	270.1382215064873
41	270.13823086198806
43	270.1382197674095
45	270.138239835002
47	270.13822487417207
49	270.1382437173612
51	270.13821815353174
53	270.13824380393174
55	270.13823966989116
57	270.1382483130835
59	270.1382329308527
61	270.1382328696484
63	270.13823785715624
65	270.13823565375105
67	270.1382313419997
69	270.138252973271
71	270.1382253225821
73	270.1382341731678
75	270.13824429790475
77	270.13823506446573
79	270.13825820690704
81	270.13821791428313
83	270.13822731401683
85	270.1382318980899
