2.538899e-10	3.501056e-10	4.439257e-10	5.357074e-10	6.264703e-10	7.172584e-10	8.087070e-10	9.006244e-10	9.914240e-10	1.077209e-09	1.150207e-09	
-4.915799e+05	-4.280827e+05	-3.745208e+05	-3.296512e+05	-2.924325e+05	-2.620009e+05	-2.376501e+05	-2.188149e+05	-2.050581e+05	-1.960606e+05	-1.916134e+05	
-9.818940e+05	-8.550631e+05	-7.480773e+05	-6.584537e+05	-5.841121e+05	-5.233272e+05	-4.746883e+05	-4.370663e+05	-4.095883e+05	-3.916164e+05	-3.827335e+05	
-1.469681e+06	-1.279843e+06	-1.119708e+06	-9.855614e+05	-8.742883e+05	-7.833066e+05	-7.105047e+05	-6.541929e+05	-6.130642e+05	-5.861642e+05	-5.728685e+05	
-1.953688e+06	-1.701331e+06	-1.488459e+06	-1.310134e+06	-1.162216e+06	-1.041271e+06	-9.444936e+05	-8.696368e+05	-8.149633e+05	-7.792044e+05	-7.615300e+05	
-2.432674e+06	-2.118447e+06	-1.853386e+06	-1.631340e+06	-1.447157e+06	-1.296560e+06	-1.176056e+06	-1.082846e+06	-1.014768e+06	-9.702424e+05	-9.482348e+05	
-2.905418e+06	-2.530126e+06	-2.213556e+06	-1.948360e+06	-1.728384e+06	-1.548522e+06	-1.404599e+06	-1.293276e+06	-1.211969e+06	-1.158790e+06	-1.132506e+06	
-3.370716e+06	-2.935322e+06	-2.568053e+06	-2.260387e+06	-2.005182e+06	-1.796515e+06	-1.629544e+06	-1.500393e+06	-1.406064e+06	-1.344369e+06	-1.313875e+06	
-3.827392e+06	-3.333009e+06	-2.915982e+06	-2.566632e+06	-2.276851e+06	-2.039913e+06	-1.850320e+06	-1.703671e+06	-1.596562e+06	-1.526509e+06	-1.491883e+06	
-4.274299e+06	-3.722189e+06	-3.256468e+06	-2.866326e+06	-2.542708e+06	-2.278105e+06	-2.066373e+06	-1.902601e+06	-1.782986e+06	-1.704752e+06	-1.666084e+06	
-4.710322e+06	-4.101891e+06	-3.588661e+06	-3.158721e+06	-2.802091e+06	-2.510495e+06	-2.277165e+06	-2.096686e+06	-1.964869e+06	-1.878654e+06	-1.836041e+06	
-5.134382e+06	-4.471176e+06	-3.911741e+06	-3.443094e+06	-3.054357e+06	-2.736509e+06	-2.482173e+06	-2.285446e+06	-2.141762e+06	-2.047785e+06	-2.001336e+06	
-5.545443e+06	-4.829140e+06	-4.224916e+06	-3.718749e+06	-3.298890e+06	-2.955595e+06	-2.680897e+06	-2.468420e+06	-2.313232e+06	-2.211732e+06	-2.161564e+06	
-5.942510e+06	-5.174918e+06	-4.527430e+06	-3.985020e+06	-3.535099e+06	-3.167223e+06	-2.872856e+06	-2.645164e+06	-2.478865e+06	-2.370097e+06	-2.316337e+06	
-6.324636e+06	-5.507684e+06	-4.818561e+06	-4.241272e+06	-3.762419e+06	-3.370887e+06	-3.057591e+06	-2.815258e+06	-2.638265e+06	-2.522503e+06	-2.465286e+06	
