-1.175694e+00	-1.026512e+00	-8.960007e-01	-7.824190e-01	-6.844183e-01	-6.010119e-01	-5.315514e-01	-4.757125e-01	-4.334869e-01	-4.051821e-01	-3.914288e-01	
-1.228815e+00	-1.072852e+00	-9.363949e-01	-8.176242e-01	-7.151312e-01	-6.278849e-01	-5.552083e-01	-4.967623e-01	-4.525383e-01	-4.228576e-01	-4.083793e-01	
-1.283421e+00	-1.120484e+00	-9.779092e-01	-8.537983e-01	-7.466805e-01	-6.554795e-01	-5.794885e-01	-5.183535e-01	-4.720656e-01	-4.409603e-01	-4.257256e-01	
-1.339634e+00	-1.169512e+00	-1.020635e+00	-8.910202e-01	-7.791343e-01	-6.838543e-01	-6.044426e-01	-5.405302e-01	-4.921076e-01	-4.595249e-01	-4.435000e-01	
-1.397586e+00	-1.220053e+00	-1.064671e+00	-9.293763e-01	-8.125673e-01	-7.130736e-01	-6.301263e-01	-5.633405e-01	-5.127066e-01	-4.785894e-01	-4.617376e-01	
-1.457422e+00	-1.272232e+00	-1.110130e+00	-9.689620e-01	-8.470617e-01	-7.432084e-01	-6.566008e-01	-5.868379e-01	-5.339093e-01	-4.981957e-01	-4.804772e-01	
-1.519306e+00	-1.326191e+00	-1.157131e+00	-1.009883e+00	-8.827085e-01	-7.743372e-01	-6.839340e-01	-6.110810e-01	-5.557675e-01	-5.183902e-01	-4.997619e-01	
-1.583417e+00	-1.382086e+00	-1.205812e+00	-1.052255e+00	-9.196087e-01	-8.065471e-01	-7.122009e-01	-6.361351e-01	-5.783385e-01	-5.392243e-01	-5.196391e-01	
-1.649953e+00	-1.440091e+00	-1.256321e+00	-1.096210e+00	-9.578748e-01	-8.399349e-01	-7.414854e-01	-6.620729e-01	-6.016862e-01	-5.607553e-01	-5.401620e-01	
-1.719139e+00	-1.500399e+00	-1.308828e+00	-1.141893e+00	-9.976323e-01	-8.746091e-01	-7.718809e-01	-6.889757e-01	-6.258818e-01	-5.830471e-01	-5.613897e-01	
-1.791225e+00	-1.563228e+00	-1.363522e+00	-1.189468e+00	-1.039022e+00	-9.106914e-01	-8.034926e-01	-7.169347e-01	-6.510055e-01	-6.061715e-01	-5.833888e-01	
-1.866494e+00	-1.628825e+00	-1.420615e+00	-1.239118e+00	-1.082204e+00	-9.483188e-01	-8.364388e-01	-7.460526e-01	-6.771476e-01	-6.302096e-01	-6.062342e-01	
-1.945266e+00	-1.697468e+00	-1.480350e+00	-1.291052e+00	-1.127358e+00	-9.876468e-01	-8.708537e-01	-7.764460e-01	-7.044104e-01	-6.552530e-01	-6.300109e-01	
-2.027906e+00	-1.769473e+00	-1.543001e+00	-1.345508e+00	-1.174689e+00	-1.028852e+00	-9.068899e-01	-8.082472e-01	-7.329102e-01	-6.814061e-01	-6.548153e-01	
-2.114830e+00	-1.845203e+00	-1.608881e+00	-1.402759e+00	-1.224431e+00	-1.072137e+00	-9.447221e-01	-8.416079e-01	-7.627801e-01	-7.087881e-01	-6.807579e-01	
-2.206518e+00	-1.925075e+00	-1.678353e+00	-1.463115e+00	-1.276854e+00	-1.117734e+00	-9.845509e-01	-8.767023e-01	-7.941731e-01	-7.375364e-01	-7.079658e-01	
-2.303524e+00	-2.009571e+00	-1.751835e+00	-1.526940e+00	-1.332270e+00	-1.165912e+00	-1.026609e+00	-9.137320e-01	-8.272664e-01	-7.678095e-01	-7.365859e-01	
-2.406495e+00	-2.099252e+00	-1.829813e+00	-1.594654e+00	-1.391043e+00	-1.216984e+00	-1.071166e+00	-9.529319e-01	-8.622661e-01	-7.997925e-01	-7.667893e-01	
-2.516188e+00	-2.194778e+00	-1.912859e+00	-1.666750e+00	-1.453599e+00	-1.271319e+00	-1.118540e+00	-9.945772e-01	-8.994139e-01	-8.337018e-01	-7.987764e-01	
-2.633497e+00	-2.296925e+00	-2.001647e+00	-1.743813e+00	-1.520440e+00	-1.329349e+00	-1.169105e+00	-1.038993e+00	-9.389952e-01	-8.697934e-01	-8.327841e-01	
-2.759488e+00	-2.406620e+00	-2.096979e+00	-1.826536e+00	-1.592167e+00	-1.391591e+00	-1.223307e+00	-1.086566e+00	-9.813499e-01	-9.083720e-01	-8.690944e-01	
-2.895441e+00	-2.524976e+00	-2.199822e+00	-1.915753e+00	-1.669500e+00	-1.458667e+00	-1.281683e+00	-1.137762e+00	-1.026886e+00	-9.498035e-01	-9.080460e-01	
-3.042908e+00	-2.653342e+00	-2.311344e+00	-2.012478e+00	-1.753311e+00	-1.531328e+00	-1.344881e+00	-1.193145e+00	-1.076100e+00	-9.945320e-01	-9.500497e-01	
-3.203795e+00	-2.793376e+00	-2.432983e+00	-2.117952e+00	-1.844672e+00	-1.610500e+00	-1.413700e+00	-1.253407e+00	-1.129599e+00	-1.043102e+00	-9.956094e-01	
-3.380466e+00	-2.947130e+00	-2.566519e+00	-2.233715e+00	-1.944913e+00	-1.697327e+00	-1.489129e+00	-1.319406e+00	-1.188136e+00	-1.096189e+00	-1.045350e+00	
-3.575893e+00	-3.117192e+00	-2.714195e+00	-2.361706e+00	-2.055706e+00	-1.793252e+00	-1.572413e+00	-1.392223e+00	-1.252659e+00	-1.154643e+00	-1.100059e+00	
-3.793875e+00	-3.306862e+00	-2.878872e+00	-2.504401e+00	-2.179188e+00	-1.900117e+00	-1.665141e+00	-1.473237e+00	-1.324381e+00	-1.219549e+00	-1.160740e+00	
-4.039344e+00	-3.520429e+00	-3.064269e+00	-2.665013e+00	-2.318133e+00	-2.020313e+00	-1.769377e+00	-1.564239e+00	-1.404873e+00	-1.292317e+00	-1.228696e+00	
-4.318833e+00	-3.763571e+00	-3.275310e+00	-2.847803e+00	-2.476215e+00	-2.157007e+00	-1.887856e+00	-1.667602e+00	-1.496218e+00	-1.374813e+00	-1.305655e+00	
-4.641194e+00	-4.043984e+00	-3.518666e+00	-3.058539e+00	-2.658413e+00	-2.314491e+00	-2.024282e+00	-1.786540e+00	-1.601239e+00	-1.469566e+00	-1.393957e+00	
