13	33.281550638976135	34.67735635897982	3.76763	150.15015
15	37.32604224258256	38.77760742385583	3.79412	150.15015
17	40.879518545812594	42.35803924921189	3.79202	150.15015
21	46.53912667416604	48.027252980972186	3.74344	150.15015
25	51.685520967202805	53.24266805044293	3.79316	150.15015
29	54.38152285288625	55.91134317303373	3.72705	150.15015
33	57.30561977648822	58.88495816079742	3.77232	150.15015
37	58.4892700982583	60.05510115061206	3.7381	150.15015
41	59.30633910908788	60.86452171121531	3.71978	150.15015
45	60.85127567841819	62.48063699896324	3.78274	150.15015
49	61.188937797051146	62.9446233957814	3.77492	150.15015
