-3.336596e-01	-2.854688e-01	-2.050519e-01	-1.065721e-01	-1.056382e-09	1.065721e-01	2.050519e-01	2.854688e-01	3.336596e-01	
-3.627599e-01	-3.100520e-01	-2.225947e-01	-1.156603e-01	-1.121205e-09	1.156603e-01	2.225947e-01	3.100520e-01	3.627599e-01	
-3.964205e-01	-3.384632e-01	-2.428603e-01	-1.261568e-01	-1.193716e-09	1.261568e-01	2.428603e-01	3.384632e-01	3.964205e-01	
-4.359209e-01	-3.717766e-01	-2.666125e-01	-1.384565e-01	-1.276030e-09	1.384565e-01	2.666125e-01	3.717766e-01	4.359209e-01	
-4.830724e-01	-4.115124e-01	-2.949326e-01	-1.531189e-01	-1.371078e-09	1.531188e-01	2.949326e-01	4.115124e-01	4.830723e-01	
-5.405268e-01	-4.598967e-01	-3.294039e-01	-1.709625e-01	-1.483188e-09	1.709625e-01	3.294039e-01	4.598967e-01	5.405268e-01	
-6.123304e-01	-5.203256e-01	-3.724417e-01	-1.932369e-01	-1.618950e-09	1.932369e-01	3.724417e-01	5.203256e-01	6.123304e-01	
-7.049804e-01	-5.982531e-01	-4.279251e-01	-2.219481e-01	-1.788887e-09	2.219481e-01	4.279251e-01	5.982531e-01	7.049804e-01	
-8.296162e-01	-7.030291e-01	-5.025040e-01	-2.605356e-01	-2.011096e-09	2.605356e-01	5.025040e-01	7.030291e-01	8.296162e-01	
-1.007071e+00	-8.521409e-01	-6.086158e-01	-3.154318e-01	-2.319350e-09	3.154318e-01	6.086158e-01	8.521408e-01	1.007071e+00	
-1.281359e+00	-1.082534e+00	-7.725371e-01	-4.002272e-01	-2.784951e-09	4.002271e-01	7.725371e-01	1.082534e+00	1.281359e+00	
-1.764368e+00	-1.488123e+00	-1.061063e+00	-5.494681e-01	-3.589209e-09	5.494681e-01	1.061063e+00	1.488123e+00	1.764368e+00	
-2.848817e+00	-2.398552e+00	-1.708645e+00	-8.844124e-01	-5.368214e-09	8.844124e-01	1.708645e+00	2.398552e+00	2.848817e+00	
-7.574105e+00	-6.365042e+00	-4.529780e+00	-2.343517e+00	-1.304503e-08	2.343517e+00	4.529780e+00	6.365042e+00	7.574105e+00	
1.092913e+01	9.166109e+00	6.516336e+00	3.369512e+00	1.690127e-08	-3.369512e+00	-6.516336e+00	-9.166109e+00	-1.092913e+01	
3.114736e+00	2.606674e+00	1.851027e+00	9.566014e-01	4.219539e-09	-9.566014e-01	-1.851027e+00	-2.606674e+00	-3.114736e+00	
1.790828e+00	1.495245e+00	1.060488e+00	5.477196e-01	2.049791e-09	-5.477196e-01	-1.060488e+00	-1.495245e+00	-1.790828e+00	
1.241232e+00	1.033761e+00	7.322072e-01	3.779173e-01	1.133340e-09	-3.779173e-01	-7.322072e-01	-1.033761e+00	-1.241232e+00	
9.386280e-01	7.795965e-01	5.513779e-01	2.843767e-01	6.159618e-10	-2.843767e-01	-5.513778e-01	-7.795965e-01	-9.386280e-01	
7.458182e-01	6.175915e-01	4.360943e-01	2.247364e-01	2.754099e-10	-2.247364e-01	-4.360943e-01	-6.175915e-01	-7.458182e-01	
6.112518e-01	5.044743e-01	3.555809e-01	1.830791e-01	2.807644e-11	-1.830791e-01	-3.555809e-01	-5.044743e-01	-6.112518e-01	
5.112032e-01	4.203303e-01	2.956738e-01	1.520793e-01	-1.645548e-10	-1.520793e-01	-2.956738e-01	-4.203303e-01	-5.112032e-01	
4.332206e-01	3.547074e-01	2.489390e-01	1.278922e-01	-3.228323e-10	-1.278922e-01	-2.489390e-01	-3.547074e-01	-4.332206e-01	
3.701306e-01	3.015843e-01	2.110943e-01	1.083029e-01	-4.584431e-10	-1.083029e-01	-2.110943e-01	-3.015843e-01	-3.701306e-01	
3.174998e-01	2.572396e-01	1.794926e-01	9.194252e-02	-5.787734e-10	-9.194252e-02	-1.794926e-01	-2.572396e-01	-3.174998e-01	
2.724307e-01	2.192412e-01	1.524043e-01	7.791629e-02	-6.886568e-10	-7.791629e-02	-1.524043e-01	-2.192412e-01	-2.724307e-01	
2.329394e-01	1.859238e-01	1.286449e-01	6.561166e-02	-7.915247e-10	-6.561166e-02	-1.286449e-01	-1.859238e-01	-2.329394e-01	
