-9.299813e+01	-9.255871e+01	-9.214595e+01	-9.175948e+01	-9.139894e+01	-9.106399e+01	-9.075433e+01	-9.046964e+01	-9.020965e+01	-8.997408e+01	-8.976268e+01	-8.957520e+01	-8.941144e+01	-8.927118e+01	-8.915424e+01	-8.906044e+01	-8.898963e+01	-8.894166e+01	-8.891640e+01	-8.891376e+01	-8.893363e+01	-8.897595e+01	-8.904064e+01	-8.912767e+01	-8.923700e+01	-8.936863e+01	-8.952255e+01	-8.969880e+01	-8.989741e+01	-9.011842e+01	-9.036192e+01	-9.062799e+01	-9.091673e+01	
-6.028754e+15	-5.651685e+15	-5.274669e+15	-4.897701e+15	-4.520779e+15	-4.143899e+15	-3.767057e+15	-3.390251e+15	-3.013476e+15	-2.636729e+15	-2.260008e+15	-1.883307e+15	-1.506625e+15	-1.129956e+15	-7.532981e+14	-3.766473e+14	-8.887500e+01	3.766473e+14	7.532981e+14	1.129956e+15	1.506625e+15	1.883307e+15	2.260008e+15	2.636729e+15	3.013476e+15	3.390251e+15	3.767057e+15	4.143899e+15	4.520779e+15	4.897701e+15	5.274669e+15	5.651685e+15	6.028754e+15	
-1.204285e+16	-1.128963e+16	-1.053651e+16	-9.783492e+15	-9.030565e+15	-8.277721e+15	-7.524955e+15	-6.772259e+15	-6.019625e+15	-5.267049e+15	-4.514521e+15	-3.762036e+15	-3.009587e+15	-2.257165e+15	-1.504765e+15	-7.523789e+14	-8.475000e+01	7.523789e+14	1.504765e+15	2.257165e+15	3.009587e+15	3.762036e+15	4.514521e+15	5.267049e+15	6.019625e+15	6.772259e+15	7.524955e+15	8.277721e+15	9.030565e+15	9.783492e+15	1.053651e+16	1.128963e+16	1.204285e+16	
-1.802766e+16	-1.690012e+16	-1.577274e+16	-1.464550e+16	-1.351840e+16	-1.239142e+16	-1.126456e+16	-1.013781e+16	-9.011146e+15	-7.884568e+15	-6.758064e+15	-5.631623e+15	-4.505235e+15	-3.378889e+15	-2.252575e+15	-1.126282e+15	-8.750000e+01	1.126282e+15	2.252575e+15	3.378889e+15	4.505235e+15	5.631623e+15	6.758064e+15	7.884568e+15	9.011146e+15	1.013781e+16	1.126456e+16	1.239142e+16	1.351840e+16	1.464550e+16	1.577274e+16	1.690012e+16	1.802766e+16	
-2.396866e+16	-2.246955e+16	-2.097065e+16	-1.947193e+16	-1.797340e+16	-1.647503e+16	-1.497681e+16	-1.347873e+16	-1.198078e+16	-1.048294e+16	-8.985192e+15	-7.487532e+15	-5.989942e+15	-4.492407e+15	-2.994915e+15	-1.497450e+15	-8.900000e+01	1.497450e+15	2.994915e+15	4.492407e+15	5.989942e+15	7.487532e+15	8.985192e+15	1.048294e+16	1.198078e+16	1.347873e+16	1.497681e+16	1.647503e+16	1.797340e+16	1.947193e+16	2.097065e+16	2.246955e+16	2.396866e+16	
-2.985148e+16	-2.798443e+16	-2.611764e+16	-2.425109e+16	-2.238476e+16	-2.051864e+16	-1.865270e+16	-1.678694e+16	-1.492133e+16	-1.305586e+16	-1.119052e+16	-9.325271e+15	-7.460113e+15	-5.595024e+15	-3.729987e+15	-1.864985e+15	-7.700000e+01	1.864985e+15	3.729987e+15	5.595024e+15	7.460113e+15	9.325271e+15	1.119052e+16	1.305586e+16	1.492133e+16	1.678694e+16	1.865270e+16	2.051864e+16	2.238476e+16	2.425109e+16	2.611764e+16	2.798443e+16	2.985148e+16	
-3.566189e+16	-3.343145e+16	-3.120130e+16	-2.897145e+16	-2.674185e+16	-2.451250e+16	-2.228337e+16	-2.005445e+16	-1.782571e+16	-1.559714e+16	-1.336871e+16	-1.114040e+16	-8.912198e+15	-6.684077e+15	-4.456017e+15	-2.227998e+15	-9.300000e+01	2.227998e+15	4.456017e+15	6.684077e+15	8.912198e+15	1.114040e+16	1.336871e+16	1.559714e+16	1.782571e+16	2.005445e+16	2.228337e+16	2.451250e+16	2.674185e+16	2.897145e+16	3.120130e+16	3.343145e+16	3.566189e+16	
-4.138592e+16	-3.879748e+16	-3.620939e+16	-3.362163e+16	-3.103418e+16	-2.844700e+16	-2.586008e+16	-2.327340e+16	-2.068693e+16	-1.810065e+16	-1.551453e+16	-1.292856e+16	-1.034271e+16	-7.756947e+15	-5.171258e+15	-2.585617e+15	-6.800000e+01	2.585617e+15	5.171258e+15	7.756947e+15	1.034271e+16	1.292856e+16	1.551453e+16	1.810065e+16	2.068693e+16	2.327340e+16	2.586008e+16	2.844700e+16	3.103418e+16	3.362163e+16	3.620939e+16	3.879748e+16	4.138592e+16	
-4.700985e+16	-4.406969e+16	-4.112992e+16	-3.819052e+16	-3.525146e+16	-3.231272e+16	-2.937427e+16	-2.643608e+16	-2.349813e+16	-2.056040e+16	-1.762285e+16	-1.468547e+16	-1.174821e+16	-8.811065e+15	-5.873999e+15	-2.936986e+15	-1.310000e+02	2.936986e+15	5.873999e+15	8.811065e+15	1.174821e+16	1.468547e+16	1.762285e+16	2.056040e+16	2.349813e+16	2.643608e+16	2.937427e+16	3.231272e+16	3.525146e+16	3.819052e+16	4.112992e+16	4.406969e+16	4.700985e+16	
-5.252028e+16	-4.923550e+16	-4.595115e+16	-4.266721e+16	-3.938365e+16	-3.610044e+16	-3.281755e+16	-2.953495e+16	-2.625262e+16	-2.297053e+16	-1.968864e+16	-1.640693e+16	-1.312537e+16	-9.843921e+15	-6.562564e+15	-3.281267e+15	-9.600000e+01	3.281267e+15	6.562564e+15	9.843921e+15	1.312537e+16	1.640693e+16	1.968864e+16	2.297053e+16	2.625262e+16	2.953495e+16	3.281755e+16	3.610044e+16	3.938365e+16	4.266721e+16	4.595115e+16	4.923550e+16	5.252028e+16	
