-1.83852e-14 	-1.89149e-14 	-1.94028e-14 	-1.98682e-14 	-2.03180e-14 	-2.07527e-14 	-2.11700e-14 	-2.15661e-14 	-2.19374e-14 	-2.22805e-14 	-2.25926e-14 	-2.28715e-14 	-2.31155e-14 	-2.33234e-14 	-2.34944e-14 	-2.36279e-14 	-2.37234e-14 	-2.37810e-14 	-2.38003e-14 	-2.37814e-14 	-2.37243e-14 	-2.36292e-14 	-2.34963e-14 	-2.33260e-14 	-2.31188e-14 	-2.28756e-14 	-2.25977e-14 	-2.22868e-14 	-2.19451e-14 	-2.15755e-14 	-2.11814e-14 	-2.07665e-14 	-2.03345e-14 	-1.98880e-14 	-1.94264e-14 	-1.89428e-14 	-1.84181e-14 	
6.92935e-02 	6.27576e-02 	5.68868e-02 	5.16251e-02 	4.69210e-02 	4.27272e-02 	3.90009e-02 	3.57035e-02 	3.28003e-02 	3.02606e-02 	2.80571e-02 	2.61660e-02 	2.45670e-02 	2.32426e-02 	2.21782e-02 	2.13623e-02 	2.07858e-02 	2.04425e-02 	2.03284e-02 	2.04425e-02 	2.07858e-02 	2.13623e-02 	2.21782e-02 	2.32426e-02 	2.45670e-02 	2.61660e-02 	2.80571e-02 	3.02606e-02 	3.28003e-02 	3.57035e-02 	3.90009e-02 	4.27272e-02 	4.69210e-02 	5.16251e-02 	5.68868e-02 	6.27576e-02 	6.92935e-02 	
1.38595e-01 	1.25524e-01 	1.13782e-01 	1.03259e-01 	9.38501e-02 	8.54622e-02 	7.80092e-02 	7.14140e-02 	6.56073e-02 	6.05275e-02 	5.61201e-02 	5.23378e-02 	4.91396e-02 	4.64904e-02 	4.43616e-02 	4.27296e-02 	4.15765e-02 	4.08897e-02 	4.06616e-02 	4.08897e-02 	4.15765e-02 	4.27296e-02 	4.43616e-02 	4.64904e-02 	4.91396e-02 	5.23378e-02 	5.61201e-02 	6.05275e-02 	6.56073e-02 	7.14140e-02 	7.80092e-02 	8.54622e-02 	9.38501e-02 	1.03259e-01 	1.13782e-01 	1.25524e-01 	1.38595e-01 	
2.07914e-01 	1.88307e-01 	1.70695e-01 	1.54909e-01 	1.40795e-01 	1.28213e-01 	1.17032e-01 	1.07139e-01 	9.84277e-02 	9.08071e-02 	8.41953e-02 	7.85211e-02 	7.37231e-02 	6.97489e-02 	6.65551e-02 	6.41068e-02 	6.23770e-02 	6.13466e-02 	6.10044e-02 	6.13466e-02 	6.23770e-02 	6.41068e-02 	6.65551e-02 	6.97489e-02 	7.37231e-02 	7.85211e-02 	8.41953e-02 	9.08071e-02 	9.84277e-02 	1.07139e-01 	1.17032e-01 	1.28213e-01 	1.40795e-01 	1.54909e-01 	1.70695e-01 	1.88307e-01 	2.07914e-01 	
2.77259e-01 	2.51117e-01 	2.27633e-01 	2.06585e-01 	1.87765e-01 	1.70987e-01 	1.56078e-01 	1.42885e-01 	1.31268e-01 	1.21106e-01 	1.12289e-01 	1.04722e-01 	9.83231e-02 	9.30232e-02 	8.87640e-02 	8.54989e-02 	8.31920e-02 	8.18180e-02 	8.13616e-02 	8.18180e-02 	8.31920e-02 	8.54989e-02 	8.87640e-02 	9.30232e-02 	9.83231e-02 	1.04722e-01 	1.12289e-01 	1.21106e-01 	1.31268e-01 	1.42885e-01 	1.56078e-01 	1.70987e-01 	1.87765e-01 	2.06585e-01 	2.27633e-01 	2.51117e-01 	2.77259e-01 	
3.46637e-01 	3.13961e-01 	2.84606e-01 	2.58294e-01 	2.34768e-01 	2.13792e-01 	1.95153e-01 	1.78659e-01 	1.64136e-01 	1.51430e-01 	1.40406e-01 	1.30945e-01 	1.22945e-01 	1.16319e-01 	1.10993e-01 	1.06911e-01 	1.04027e-01 	1.02309e-01 	1.01738e-01 	1.02309e-01 	1.04027e-01 	1.06911e-01 	1.10993e-01 	1.16319e-01 	1.22945e-01 	1.30945e-01 	1.40406e-01 	1.51430e-01 	1.64136e-01 	1.78659e-01 	1.95153e-01 	2.13792e-01 	2.34768e-01 	2.58294e-01 	2.84606e-01 	3.13961e-01 	3.46637e-01 	
4.16057e-01 	3.76848e-01 	3.41622e-01 	3.10045e-01 	2.81811e-01 	2.56636e-01 	2.34266e-01 	2.14468e-01 	1.97036e-01 	1.81786e-01 	1.68554e-01 	1.57198e-01 	1.47595e-01 	1.39641e-01 	1.33248e-01 	1.28348e-01 	1.24886e-01 	1.22823e-01 	1.22139e-01 	1.22823e-01 	1.24886e-01 	1.28348e-01 	1.33248e-01 	1.39641e-01 	1.47595e-01 	1.57198e-01 	1.68554e-01 	1.81786e-01 	1.97036e-01 	2.14468e-01 	2.34266e-01 	2.56636e-01 	2.81811e-01 	3.10045e-01 	3.41622e-01 	3.76848e-01 	4.16057e-01 	
4.85529e-01 	4.39787e-01 	3.98689e-01 	3.61847e-01 	3.28903e-01 	2.99527e-01 	2.73423e-01 	2.50320e-01 	2.29978e-01 	2.12180e-01 	1.96738e-01 	1.83485e-01 	1.72278e-01 	1.62995e-01 	1.55534e-01 	1.49815e-01 	1.45774e-01 	1.43367e-01 	1.42568e-01 	1.43367e-01 	1.45774e-01 	1.49815e-01 	1.55534e-01 	1.62995e-01 	1.72278e-01 	1.83485e-01 	1.96738e-01 	2.12180e-01 	2.29978e-01 	2.50320e-01 	2.73423e-01 	2.99527e-01 	3.28903e-01 	3.61847e-01 	3.98689e-01 	4.39787e-01 	4.85529e-01 	
5.55060e-01 	5.02787e-01 	4.55817e-01 	4.13708e-01 	3.76052e-01 	3.42473e-01 	3.12633e-01 	2.86222e-01 	2.62966e-01 	2.42620e-01 	2.24965e-01 	2.09813e-01 	1.97000e-01 	1.86386e-01 	1.77856e-01 	1.71317e-01 	1.66697e-01 	1.63945e-01 	1.63031e-01 	1.63945e-01 	1.66697e-01 	1.71317e-01 	1.77856e-01 	1.86386e-01 	1.97000e-01 	2.09813e-01 	2.24965e-01 	2.42620e-01 	2.62966e-01 	2.86222e-01 	3.12633e-01 	3.42473e-01 	3.76052e-01 	4.13708e-01 	4.55817e-01 	5.02787e-01 	5.55060e-01 	
6.24659e-01 	5.65856e-01 	5.13014e-01 	4.65637e-01 	4.23267e-01 	3.85482e-01 	3.51902e-01 	3.22181e-01 	2.96009e-01 	2.73110e-01 	2.53241e-01 	2.36187e-01 	2.21766e-01 	2.09820e-01 	2.00220e-01 	1.92860e-01 	1.87659e-01 	1.84562e-01 	1.83533e-01 	1.84562e-01 	1.87659e-01 	1.92860e-01 	2.00220e-01 	2.09820e-01 	2.21766e-01 	2.36187e-01 	2.53241e-01 	2.73110e-01 	2.96009e-01 	3.22181e-01 	3.51902e-01 	3.85482e-01 	4.23267e-01 	4.65637e-01 	5.13014e-01 	5.65856e-01 	6.24659e-01 	
